Timestamp,Idle Time,Memory Usage,Bytes Sent,Bytes Received
1693445856.9842198,155416.0,84.2,388857856,3250970624
1693445861.9865768,155444.49,84.3,388867072,3250977792
1693445866.9874518,155473.24,82.9,388868096,3250977792
1693445871.9930172,155501.31,82.3,388872192,3250982912
1693445876.998691,155528.68,82.5,388878336,3251003392
1693445882.000502,155556.51,82.8,388886528,3251011584
1693445887.0061529,155585.25,83.0,388891648,3251022848
1693445892.007564,155614.21,82.6,388895744,3251028992
1693445897.012911,155643.41,82.6,388895744,3251028992
1693445902.016675,155672.56,82.7,388905984,3251043328
1693445907.022243,155701.89,82.6,388905984,3251044352
1693445912.024509,155730.86,82.5,388912128,3251060736
1693445917.026695,155759.95,82.6,388913152,3251060736
1693445922.0293179,155789.07,82.6,388915200,3251062784
1693445927.03262,155817.71,82.5,388923392,3251073024
1693445932.036098,155846.54,82.6,388923392,3251075072
1693445937.039573,155875.29,82.4,388924416,3251075072
1693445942.045085,155904.42,82.4,388924416,3251076096
1693445947.049792,155933.04,81.9,388928512,3251087360
1693445952.055358,155962.21,81.9,388929536,3251089408
1693445957.060649,155991.07,82.0,388931584,3251101696
1693445962.0661519,156020.31,81.9,388931584,3251102720
1693445967.0717142,156049.52,82.0,388933632,3251103744
1693445972.076088,156078.68,82.0,388933632,3251104768
1693445977.0817091,156107.94,82.1,388943872,3251115008
1693445982.0836108,156136.87,82.0,388944896,3251116032
1693445987.088939,156165.7,82.0,388945920,3251117056
1693445992.0924501,156194.95,82.0,388945920,3251117056
1693445997.097146,156224.1,82.0,388946944,3251118080
1693446002.102069,156253.23,82.0,388952064,3251121152
1693446007.102904,156282.36,82.0,388952064,3251122176
1693446012.108215,156311.26,82.0,388979712,3252294656
1693446017.109712,156340.11,82.1,389045248,3255200768
1693446022.113321,156368.99,82.1,389114880,3258321920
1693446027.114814,156397.19,82.1,389210112,3261863936
1693446032.120424,156424.21,83.7,389270528,3264519168
1693446037.1262138,156452.44,83.9,389416960,3269959680
1693446042.131753,156481.26,83.8,389467136,3272177664
1693446047.137337,156509.95,83.3,389531648,3273972736
1693446052.142866,156539.04,83.4,389573632,3275768832
1693446057.1469471,156567.66,83.4,389627904,3278169088
1693446062.150292,156595.99,83.4,389703680,3281624064
1693446067.1533382,156624.54,83.3,389776384,3283899392
1693446072.1581829,156653.34,83.3,389836800,3286582272
1693446077.163497,156681.97,83.4,389937152,3291289600
1693446082.1651049,156710.47,83.3,390013952,3294585856
1693446087.167275,156739.19,83.3,390065152,3296811008
1693446092.173117,156767.67,83.1,390135808,3300096000
1693446097.178606,156796.37,83.2,390212608,3303371776
1693446102.180704,156825.17,83.1,390268928,3305883648
1693446107.183212,156854.01,83.1,390323200,3308281856
1693446112.185327,156882.67,83.2,390378496,3310732288
1693446117.187457,156911.51,83.0,390438912,3313568768
1693446122.189483,156940.27,83.0,390495232,3316050944
1693446127.194995,156968.76,83.0,390546432,3318119424
1693446132.2000031,156997.51,82.9,390599680,3320388608
1693446137.203039,157025.32,83.0,390658048,3322797056
1693446142.208886,157053.97,82.9,390719488,3325521920
1693446147.211585,157082.56,83.1,390803456,3329335296
1693446152.213344,157111.34,82.8,390850560,3331398656
